"Id","Score","Snake-Length","Food-Eaten","Time-Spent","Moves"
"0","34","34","34","96903","128","2025-10-07T12:24:12.866111500"
"1","17","17","17","80189","83","2025-10-07T12:46:14.262205600"
"2","2","2","2","8835","6","2025-10-07T12:46:37.345699500"
"3","11","11","11","35666","47","2025-10-07T12:47:15.487121800"
"4","5","5","5","18113","18","2025-10-18T14:08:29.368317300"
"5","28","28","28","83480","100","2025-10-18T14:09:58.903145300"
"6","0","0","0","4863","1","2025-10-18T15:03:39.325017800"
"7","1","1","1","3788","3","2025-10-18T15:05:27.944479400"
"8","0","0","0","30395","0","2025-10-18T15:33:08.950814500"
"9","0","0","0","62854","0","2025-10-18T15:35:46.061375200"
"10","15","15","15","42516","54","2025-10-18T15:43:25.380353900"
"11","4","4","4","14126","16","2025-10-18T15:43:46.631458600"
"12","13","13","13","39092","44","2025-10-18T15:44:57.925806900"
"13","2","2","2","10700","14","2025-10-18T15:45:11.771183200"
"14","26","26","26","66534","80","2025-10-18T15:50:58.300724400"
"15","50","50","50","140312","177","2025-10-18T15:53:21.020472400"
"16","22","22","22","65091","78","2025-10-18T15:57:10.373299700"
"17","4","4","4","15138","17","2025-10-18T15:57:29.101034500"
